PurchaseID,Producto,Cantidad,PrecioUnitario,Total
13,Cheesecake de Fresa,10,22.0,220.0
13,Galleta de Jengibre,6,1.5,9.0
14,Mini Tarta de Frutas,1,5.0,5.0
14,Strudel de Manzana,10,3.5,35.0
15,Napolitana de Crema,2,2.5,5.0
15,Bombón de Chocolate,12,0.8,9.6
15,Muffin de Plátano,5,2.5,12.5
15,Roll de Chocolate,12,2.5,30.0
16,Galleta de Jengibre,11,1.5,16.5
16,Croissant Clásico,2,2.5,5.0
16,Eclair de Chocolate,6,3.5,21.0
17,Berlina de Chocolate,9,2.0,18.0
17,Galleta de Avena,1,1.0,1.0
17,Brownie,7,3.0,21.0
17,Galleta de Mantequilla,2,1.0,2.0
17,Cheesecake de Oreo,1,22.0,22.0
17,Palmera Natural,10,2.0,20.0
17,Tarta de Frutas,4,18.0,72.0
17,Macaron de Vainilla,8,1.5,12.0
18,Eclair de Chocolate,6,3.5,21.0
18,Donut Glaseado,12,1.5,18.0
18,Napolitana de Chocolate,8,2.5,20.0
18,Roll de Chocolate,8,2.5,20.0
18,Palmera Natural,2,2.0,4.0
18,Cheesecake de Fresa,6,22.0,132.0
18,Tarta Red Velvet,12,20.0,240.0
18,Palmera de Chocolate,8,2.5,20.0
19,Macaron de Chocolate,3,1.5,4.5
19,Muffin de Chocolate,10,2.5,25.0
19,Magdalena Clásica,12,1.0,12.0
19,Tarta Red Velvet,2,20.0,40.0
19,Tarta de Limón,12,15.0,180.0
19,Pan de Leche,9,1.0,9.0
20,Galleta de Mantequilla,7,1.0,7.0
20,Donut de Chocolate,4,1.5,6.0
21,Donut de Chocolate,2,1.5,3.0
21,Roll de Canela,3,2.5,7.5
21,Brownie,10,3.0,30.0
21,Galleta de Mantequilla,9,1.0,9.0
21,Tarta Red Velvet,11,20.0,220.0
21,Cheesecake de Fresa,1,22.0,22.0
22,Cheesecake de Oreo,12,22.0,264.0
22,Macaron de Vainilla,3,1.5,4.5
22,Napolitana de Crema,12,2.5,30.0
22,Eclair de Chocolate,8,3.5,28.0
22,Muffin de Chocolate,11,2.5,27.5
23,Napolitana de Chocolate,4,2.5,10.0
24,Muffin de Chocolate,9,2.5,22.5
25,Bretzel Dulce,12,2.0,24.0
25,Brownie,3,3.0,9.0
25,Cheesecake de Fresa,5,22.0,110.0
25,Macaron de Chocolate,1,1.5,1.5
25,Napolitana de Chocolate,7,2.5,17.5
25,Tiramisú Individual,5,4.5,22.5
25,Muffin de Chocolate,5,2.5,12.5
26,Donut Relleno,5,2.0,10.0
26,Cheesecake de Fresa,11,22.0,242.0
26,Galleta de Mantequilla,6,1.0,6.0
26,Berlina de Chocolate,9,2.0,18.0
27,Magdalena de Chocolate,11,1.2,13.2
27,Bretzel Dulce,12,2.0,24.0
27,Pan de Leche,5,1.0,5.0
27,Macaron de Vainilla,8,1.5,12.0
27,Tarta de Chocolate,3,16.0,48.0
27,Macaron de Chocolate,9,1.5,13.5
27,Croissant de Chocolate,1,3.0,3.0
27,Eclair de Chocolate,8,3.5,28.0
28,Galleta de Avena,4,1.0,4.0
28,Macaron de Chocolate,8,1.5,12.0
28,Eclair de Vainilla,2,3.5,7.0
29,Pan de Chocolate,10,2.0,20.0
29,Croissant de Chocolate,2,3.0,6.0
29,Rosquilla de Anís,5,1.0,5.0
29,Galleta de Coco,12,1.2,14.4
29,Bombón de Chocolate,7,0.8,5.6
29,Galleta de Chocolate,6,1.0,6.0
29,Tarta de Manzana,4,15.0,60.0
29,Galleta de Mantequilla,2,1.0,2.0
30,Pan de Chocolate,4,2.0,8.0
30,Palmera de Chocolate,10,2.5,25.0
30,Tiramisú Individual,12,4.5,54.0
31,Macaron de Vainilla,1,1.5,1.5
31,Profiterol,1,1.5,1.5
31,Donut Relleno,4,2.0,8.0
31,Brownie,12,3.0,36.0
31,Macaron de Chocolate,6,1.5,9.0
31,Tiramisú Individual,1,4.5,4.5
31,Strudel de Manzana,11,3.5,38.5
32,Cheesecake de Fresa,5,22.0,110.0
33,Bretzel Dulce,11,2.0,22.0
33,Tiramisú Individual,6,4.5,27.0
33,Strudel de Manzana,6,3.5,21.0
33,Donut Relleno,1,2.0,2.0
33,Croissant Clásico,6,2.5,15.0
33,Galleta de Chocolate,12,1.0,12.0
33,Galleta de Almendra,6,1.2,7.2
34,Brownie,1,3.0,3.0
34,Donut Glaseado,4,1.5,6.0
35,Napolitana de Crema,5,2.5,12.5
35,Tarta Red Velvet,5,20.0,100.0
35,Brownie,5,3.0,15.0
35,Mini Tarta de Frutas,2,5.0,10.0
35,Galleta de Chocolate,12,1.0,12.0
35,Tarta de Limón,3,15.0,45.0
36,Napolitana de Crema,7,2.5,17.5
36,Mini Tarta de Frutas,3,5.0,15.0
36,Muffin de Arándanos,10,2.5,25.0
36,Palmera de Chocolate,6,2.5,15.0
37,Macaron de Chocolate,7,1.5,10.5
37,Profiterol,9,1.5,13.5
37,Galleta de Almendra,1,1.2,1.2
37,Galleta de Chocolate,10,1.0,10.0
37,Tiramisú Individual,1,4.5,4.5
37,Donut de Chocolate,3,1.5,4.5
37,Eclair de Chocolate,6,3.5,21.0
38,Eclair de Chocolate,4,3.5,14.0
38,Tarta de Limón,4,15.0,60.0
38,Profiterol,5,1.5,7.5
38,Donut de Chocolate,12,1.5,18.0
39,Napolitana de Chocolate,12,2.5,30.0
39,Eclair de Chocolate,2,3.5,7.0
39,Palmera de Chocolate,1,2.5,2.5
39,Magdalena de Chocolate,6,1.2,7.2
39,Macaron de Pistacho,3,1.5,4.5
39,Croissant Clásico,10,2.5,25.0
39,Tarta de Frutas,3,18.0,54.0
40,Berlina de Crema,2,2.0,4.0
40,Croissant de Almendras,3,3.5,10.5
40,Donut de Chocolate,6,1.5,9.0
40,Galleta de Coco,8,1.2,9.6
40,Muffin de Plátano,11,2.5,27.5
40,Mini Tarta de Frutas,1,5.0,5.0
41,Galleta de Jengibre,3,1.5,4.5
41,Tarta de Frutas,4,18.0,72.0
41,Galleta de Chocolate,1,1.0,1.0
41,Napolitana de Crema,4,2.5,10.0
41,Macaron de Pistacho,2,1.5,3.0
42,Magdalena Clásica,6,1.0,6.0
42,Croissant Clásico,9,2.5,22.5
42,Donut de Chocolate,5,1.5,7.5
42,Napolitana de Crema,12,2.5,30.0
42,Galleta de Coco,6,1.2,7.2
42,Tarta Red Velvet,11,20.0,220.0
42,Muffin de Chocolate,5,2.5,12.5
42,Tarta de Limón,4,15.0,60.0
43,Roll de Chocolate,3,2.5,7.5
43,Macaron de Chocolate,8,1.5,12.0
43,Magdalena de Chocolate,3,1.2,3.6
44,Macaron de Frambuesa,5,1.5,7.5
44,Eclair de Vainilla,1,3.5,3.5
45,Donut Glaseado,11,1.5,16.5
45,Macaron de Vainilla,4,1.5,6.0
45,Bombón de Chocolate,7,0.8,5.6
45,Napolitana de Crema,9,2.5,22.5
45,Macaron de Pistacho,3,1.5,4.5
45,Macaron de Frambuesa,7,1.5,10.5
46,Pan de Leche,3,1.0,3.0
46,Muffin de Arándanos,3,2.5,7.5
46,Cheesecake Clásico,7,20.0,140.0
46,Tarta de Manzana,5,15.0,75.0
46,Mini Tarta de Frutas,9,5.0,45.0
47,Brownie,9,3.0,27.0
47,Magdalena de Chocolate,2,1.2,2.4
47,Rosquilla de Anís,11,1.0,11.0
47,Galleta de Mantequilla,7,1.0,7.0
48,Pan de Leche,11,1.0,11.0
48,Eclair de Vainilla,8,3.5,28.0
48,Palmera Natural,3,2.0,6.0
49,Napolitana de Crema,6,2.5,15.0
49,Magdalena Clásica,3,1.0,3.0
49,Croissant de Chocolate,9,3.0,27.0
49,Brownie,9,3.0,27.0
49,Galleta de Almendra,10,1.2,12.0
49,Tarta de Frutas,8,18.0,144.0
50,Macaron de Frambuesa,8,1.5,12.0
50,Napolitana de Crema,12,2.5,30.0
50,Bombón de Chocolate,6,0.8,4.8
50,Rosquilla de Anís,7,1.0,7.0
50,Palmera de Chocolate,4,2.5,10.0
50,Tarta de Frutas,8,18.0,144.0
50,Tarta de Manzana,10,15.0,150.0
50,Profiterol,1,1.5,1.5
51,Magdalena de Chocolate,1,1.2,1.2
51,Bombón de Chocolate,3,0.8,2.4
51,Tarta de Frutas,6,18.0,108.0
51,Donut Glaseado,8,1.5,12.0
51,Profiterol,1,1.5,1.5
51,Eclair de Vainilla,9,3.5,31.5
52,Berlina de Chocolate,4,2.0,8.0
52,Tarta Red Velvet,6,20.0,120.0
52,Croissant de Chocolate,12,3.0,36.0
52,Brownie,4,3.0,12.0
52,Galleta de Coco,1,1.2,1.2
52,Muffin de Arándanos,8,2.5,20.0
52,Roll de Canela,9,2.5,22.5
53,Magdalena Clásica,9,1.0,9.0
53,Profiterol,8,1.5,12.0
53,Cheesecake de Fresa,7,22.0,154.0
53,Tarta de Frutas,1,18.0,18.0
53,Tarta Red Velvet,4,20.0,80.0
53,Muffin de Plátano,6,2.5,15.0
53,Berlina de Chocolate,10,2.0,20.0
54,Macaron de Vainilla,3,1.5,4.5
54,Macaron de Pistacho,1,1.5,1.5
54,Pan de Chocolate,1,2.0,2.0
54,Galleta de Avena,11,1.0,11.0
55,Napolitana de Crema,9,2.5,22.5
56,Donut de Chocolate,11,1.5,16.5
57,Tarta de Limón,7,15.0,105.0
57,Roll de Canela,9,2.5,22.5
57,Muffin de Arándanos,4,2.5,10.0
58,Croissant de Chocolate,12,3.0,36.0
58,Pan de Chocolate,6,2.0,12.0
59,Roll de Chocolate,6,2.5,15.0
59,Tarta Red Velvet,4,20.0,80.0
59,Macaron de Vainilla,12,1.5,18.0
60,Croissant Clásico,12,2.5,30.0
61,Tiramisú Individual,10,4.5,45.0
61,Rosquilla de Anís,3,1.0,3.0
61,Berlina de Chocolate,2,2.0,4.0
61,Donut de Chocolate,5,1.5,7.5
61,Cheesecake Clásico,7,20.0,140.0
62,Cheesecake Clásico,7,20.0,140.0
62,Tarta de Limón,6,15.0,90.0
62,Brownie,7,3.0,21.0
62,Donut de Chocolate,2,1.5,3.0
62,Macaron de Chocolate,5,1.5,7.5
62,Macaron de Frambuesa,1,1.5,1.5
62,Tarta de Chocolate,10,16.0,160.0
62,Croissant Clásico,5,2.5,12.5
63,Eclair de Chocolate,6,3.5,21.0
63,Magdalena Clásica,8,1.0,8.0
63,Galleta de Coco,10,1.2,12.0
63,Cheesecake de Fresa,7,22.0,154.0
63,Tiramisú Individual,11,4.5,49.5
63,Tarta de Café,10,16.0,160.0
63,Roll de Chocolate,7,2.5,17.5
63,Pan de Chocolate,8,2.0,16.0
64,Croissant Clásico,4,2.5,10.0
64,Macaron de Frambuesa,1,1.5,1.5
64,Brownie,12,3.0,36.0
64,Berlina de Chocolate,11,2.0,22.0
65,Croissant de Chocolate,11,3.0,33.0
66,Cheesecake de Oreo,12,22.0,264.0
66,Galleta de Chocolate,8,1.0,8.0
66,Galleta de Jengibre,4,1.5,6.0
67,Muffin de Plátano,6,2.5,15.0
67,Donut Relleno,8,2.0,16.0
67,Galleta de Avena,3,1.0,3.0
67,Croissant Clásico,10,2.5,25.0
67,Bretzel Dulce,9,2.0,18.0
67,Galleta de Mantequilla,11,1.0,11.0
67,Croissant de Chocolate,5,3.0,15.0
68,Macaron de Frambuesa,4,1.5,6.0
68,Eclair de Vainilla,11,3.5,38.5
68,Cheesecake de Fresa,11,22.0,242.0
69,Tarta de Frutas,4,18.0,72.0
69,Croissant de Almendras,12,3.5,42.0
69,Magdalena de Chocolate,7,1.2,8.4
69,Donut de Chocolate,4,1.5,6.0
69,Cheesecake de Fresa,3,22.0,66.0
69,Strudel de Manzana,5,3.5,17.5
70,Tarta de Frutas,5,18.0,90.0
70,Galleta de Avena,3,1.0,3.0
70,Palmera de Chocolate,10,2.5,25.0
70,Tarta Red Velvet,6,20.0,120.0
70,Galleta de Mantequilla,4,1.0,4.0
70,Bretzel Dulce,5,2.0,10.0
70,Pan de Chocolate,11,2.0,22.0
71,Palmera Natural,8,2.0,16.0
71,Tarta Red Velvet,7,20.0,140.0
71,Tarta de Frutas,6,18.0,108.0
72,Macaron de Frambuesa,8,1.5,12.0
72,Tarta de Manzana,3,15.0,45.0
72,Croissant de Chocolate,8,3.0,24.0
72,Tiramisú Individual,1,4.5,4.5
72,Muffin de Arándanos,4,2.5,10.0
73,Pan de Chocolate,4,2.0,8.0
73,Tarta Red Velvet,4,20.0,80.0
73,Bombón de Chocolate,8,0.8,6.4
73,Croissant Clásico,12,2.5,30.0
73,Brownie,11,3.0,33.0
74,Galleta de Mantequilla,1,1.0,1.0
74,Roll de Canela,7,2.5,17.5
74,Tarta de Chocolate,11,16.0,176.0
75,Tiramisú Individual,2,4.5,9.0
75,Berlina de Crema,10,2.0,20.0
76,Bretzel Dulce,3,2.0,6.0
76,Tiramisú Individual,4,4.5,18.0
76,Pan de Leche,5,1.0,5.0
76,Strudel de Manzana,8,3.5,28.0
76,Tarta de Frutas,8,18.0,144.0
76,Roll de Chocolate,3,2.5,7.5
76,Donut Glaseado,8,1.5,12.0
77,Tarta de Café,4,16.0,64.0
77,Galleta de Avena,1,1.0,1.0
78,Profiterol,7,1.5,10.5
78,Donut de Chocolate,3,1.5,4.5
79,Galleta de Almendra,4,1.2,4.8
79,Cheesecake de Fresa,6,22.0,132.0
79,Strudel de Manzana,7,3.5,24.5
79,Tarta Red Velvet,1,20.0,20.0
79,Tarta de Chocolate,10,16.0,160.0
79,Rosquilla de Anís,8,1.0,8.0
79,Galleta de Mantequilla,7,1.0,7.0
80,Pan de Chocolate,12,2.0,24.0
80,Croissant de Almendras,5,3.5,17.5
80,Napolitana de Chocolate,8,2.5,20.0
80,Galleta de Almendra,2,1.2,2.4
80,Cheesecake de Oreo,4,22.0,88.0
80,Tarta Red Velvet,12,20.0,240.0
80,Croissant de Chocolate,12,3.0,36.0
80,Macaron de Vainilla,2,1.5,3.0
81,Galleta de Chocolate,12,1.0,12.0
82,Tarta de Frutas,12,18.0,216.0
82,Cheesecake de Oreo,4,22.0,88.0
83,Magdalena de Chocolate,9,1.2,10.8
83,Macaron de Chocolate,1,1.5,1.5
83,Magdalena Clásica,2,1.0,2.0
84,Macaron de Pistacho,6,1.5,9.0
84,Croissant de Almendras,6,3.5,21.0
84,Napolitana de Chocolate,2,2.5,5.0
84,Cheesecake de Fresa,6,22.0,132.0
84,Tarta de Chocolate,1,16.0,16.0
84,Muffin de Chocolate,2,2.5,5.0
84,Galleta de Chocolate,7,1.0,7.0
84,Croissant Clásico,6,2.5,15.0
85,Magdalena Clásica,3,1.0,3.0
85,Donut Relleno,12,2.0,24.0
85,Macaron de Chocolate,12,1.5,18.0
85,Donut de Chocolate,4,1.5,6.0
85,Profiterol,10,1.5,15.0
85,Muffin de Chocolate,1,2.5,2.5
85,Magdalena de Chocolate,11,1.2,13.2
85,Cheesecake de Oreo,12,22.0,264.0
86,Macaron de Frambuesa,4,1.5,6.0
86,Donut Glaseado,2,1.5,3.0
86,Donut de Chocolate,3,1.5,4.5
86,Galleta de Avena,9,1.0,9.0
86,Palmera Natural,8,2.0,16.0
86,Profiterol,6,1.5,9.0
87,Galleta de Mantequilla,6,1.0,6.0
87,Tarta de Café,7,16.0,112.0
87,Bombón de Chocolate,4,0.8,3.2
87,Napolitana de Crema,7,2.5,17.5
87,Tiramisú Individual,7,4.5,31.5
88,Muffin de Arándanos,4,2.5,10.0
88,Brownie,8,3.0,24.0
88,Galleta de Mantequilla,6,1.0,6.0
89,Eclair de Chocolate,2,3.5,7.0
89,Macaron de Pistacho,12,1.5,18.0
89,Tarta de Café,6,16.0,96.0
89,Pan de Leche,3,1.0,3.0
90,Berlina de Chocolate,4,2.0,8.0
90,Galleta de Jengibre,5,1.5,7.5
90,Muffin de Chocolate,7,2.5,17.5
90,Eclair de Vainilla,6,3.5,21.0
90,Pan de Leche,9,1.0,9.0
91,Tarta de Chocolate,10,16.0,160.0
91,Strudel de Manzana,1,3.5,3.5
91,Magdalena de Chocolate,1,1.2,1.2
91,Pan de Chocolate,7,2.0,14.0
91,Muffin de Arándanos,4,2.5,10.0
91,Palmera Natural,10,2.0,20.0
91,Tarta de Limón,7,15.0,105.0
91,Eclair de Chocolate,3,3.5,10.5
92,Pan de Chocolate,3,2.0,6.0
92,Berlina de Chocolate,2,2.0,4.0
92,Donut Glaseado,1,1.5,1.5
92,Galleta de Mantequilla,8,1.0,8.0
93,Napolitana de Chocolate,11,2.5,27.5
93,Macaron de Frambuesa,12,1.5,18.0
94,Muffin de Arándanos,6,2.5,15.0
94,Croissant de Almendras,2,3.5,7.0
95,Pan de Leche,1,1.0,1.0
95,Galleta de Almendra,9,1.2,10.8
95,Croissant Clásico,5,2.5,12.5
95,Brownie,12,3.0,36.0
95,Pan de Chocolate,1,2.0,2.0
95,Profiterol,4,1.5,6.0
95,Galleta de Chocolate,6,1.0,6.0
96,Donut de Chocolate,11,1.5,16.5
96,Muffin de Chocolate,11,2.5,27.5
96,Macaron de Pistacho,2,1.5,3.0
96,Roll de Chocolate,7,2.5,17.5
96,Cheesecake de Oreo,5,22.0,110.0
96,Tarta Red Velvet,11,20.0,220.0
96,Magdalena de Chocolate,4,1.2,4.8
96,Mini Tarta de Frutas,6,5.0,30.0
97,Galleta de Mantequilla,12,1.0,12.0
97,Galleta de Coco,5,1.2,6.0
97,Macaron de Frambuesa,4,1.5,6.0
98,Macaron de Pistacho,1,1.5,1.5
98,Profiterol,2,1.5,3.0
99,Tarta de Limón,4,15.0,60.0
99,Muffin de Plátano,8,2.5,20.0
99,Napolitana de Crema,5,2.5,12.5
99,Galleta de Coco,4,1.2,4.8
99,Palmera Natural,7,2.0,14.0
99,Macaron de Frambuesa,10,1.5,15.0
99,Eclair de Vainilla,5,3.5,17.5
100,Pan de Leche,3,1.0,3.0
100,Magdalena de Chocolate,2,1.2,2.4
100,Brownie,11,3.0,33.0
100,Muffin de Plátano,9,2.5,22.5
101,Pan de Leche,9,1.0,9.0
101,Galleta de Avena,4,1.0,4.0
101,Galleta de Jengibre,5,1.5,7.5
101,Tarta de Café,4,16.0,64.0
102,Palmera Natural,5,2.0,10.0
102,Donut Relleno,9,2.0,18.0
103,Profiterol,9,1.5,13.5
103,Tarta Red Velvet,3,20.0,60.0
103,Napolitana de Crema,9,2.5,22.5
103,Tarta de Café,10,16.0,160.0
103,Cheesecake de Oreo,9,22.0,198.0
103,Tarta de Manzana,12,15.0,180.0
103,Roll de Canela,7,2.5,17.5
104,Profiterol,3,1.5,4.5
105,Brownie,9,3.0,27.0
105,Donut Relleno,4,2.0,8.0
106,Macaron de Chocolate,1,1.5,1.5
106,Macaron de Frambuesa,4,1.5,6.0
106,Tarta de Manzana,8,15.0,120.0
106,Eclair de Chocolate,6,3.5,21.0
106,Palmera Natural,12,2.0,24.0
107,Macaron de Frambuesa,10,1.5,15.0
107,Roll de Chocolate,5,2.5,12.5
108,Mini Tarta de Frutas,11,5.0,55.0
108,Tarta de Manzana,12,15.0,180.0
109,Macaron de Pistacho,4,1.5,6.0
109,Napolitana de Crema,8,2.5,20.0
109,Muffin de Plátano,5,2.5,12.5
109,Brownie,10,3.0,30.0
109,Strudel de Manzana,6,3.5,21.0
109,Magdalena Clásica,9,1.0,9.0
110,Pan de Chocolate,8,2.0,16.0
110,Eclair de Vainilla,8,3.5,28.0
110,Napolitana de Crema,1,2.5,2.5
111,Macaron de Chocolate,3,1.5,4.5
111,Tarta de Chocolate,3,16.0,48.0
111,Donut Glaseado,12,1.5,18.0
112,Tarta de Limón,2,15.0,30.0
112,Bretzel Dulce,1,2.0,2.0
113,Muffin de Chocolate,9,2.5,22.5
113,Macaron de Chocolate,11,1.5,16.5
113,Galleta de Almendra,11,1.2,13.2
113,Palmera Natural,4,2.0,8.0
113,Cheesecake de Oreo,1,22.0,22.0
114,Profiterol,1,1.5,1.5
114,Bombón de Chocolate,12,0.8,9.6
114,Donut de Chocolate,7,1.5,10.5
114,Napolitana de Crema,9,2.5,22.5
115,Galleta de Mantequilla,8,1.0,8.0
115,Profiterol,7,1.5,10.5
115,Galleta de Coco,7,1.2,8.4
115,Muffin de Plátano,4,2.5,10.0
115,Roll de Chocolate,10,2.5,25.0
115,Macaron de Vainilla,3,1.5,4.5
116,Magdalena de Chocolate,7,1.2,8.4
117,Tarta de Chocolate,5,16.0,80.0
117,Roll de Canela,3,2.5,7.5
117,Croissant de Chocolate,11,3.0,33.0
117,Eclair de Vainilla,4,3.5,14.0
118,Palmera Natural,2,2.0,4.0
118,Croissant Clásico,2,2.5,5.0
118,Galleta de Coco,3,1.2,3.6
118,Tiramisú Individual,5,4.5,22.5
118,Rosquilla de Anís,7,1.0,7.0
118,Strudel de Manzana,9,3.5,31.5
119,Donut de Chocolate,7,1.5,10.5
119,Muffin de Arándanos,12,2.5,30.0
119,Magdalena Clásica,10,1.0,10.0
120,Cheesecake de Oreo,3,22.0,66.0
120,Tarta Red Velvet,12,20.0,240.0
120,Cheesecake de Fresa,7,22.0,154.0
120,Tarta de Chocolate,6,16.0,96.0
120,Berlina de Chocolate,6,2.0,12.0
120,Brownie,5,3.0,15.0
120,Galleta de Avena,1,1.0,1.0
120,Galleta de Chocolate,3,1.0,3.0
121,Galleta de Almendra,7,1.2,8.4
121,Macaron de Chocolate,8,1.5,12.0
121,Eclair de Chocolate,3,3.5,10.5
121,Napolitana de Crema,9,2.5,22.5
121,Macaron de Vainilla,1,1.5,1.5
121,Bombón de Chocolate,6,0.8,4.8
121,Tarta de Manzana,12,15.0,180.0
122,Bombón de Chocolate,8,0.8,6.4
122,Tarta de Chocolate,3,16.0,48.0
122,Berlina de Chocolate,4,2.0,8.0
122,Tarta de Frutas,12,18.0,216.0
123,Magdalena Clásica,7,1.0,7.0
123,Roll de Chocolate,5,2.5,12.5
123,Tarta de Limón,3,15.0,45.0
123,Tarta Red Velvet,6,20.0,120.0
124,Mini Tarta de Frutas,1,5.0,5.0
124,Tarta Red Velvet,12,20.0,240.0
124,Pan de Chocolate,6,2.0,12.0
125,Tiramisú Individual,6,4.5,27.0
126,Bretzel Dulce,5,2.0,10.0
126,Napolitana de Chocolate,10,2.5,25.0
126,Macaron de Pistacho,2,1.5,3.0
126,Cheesecake Clásico,12,20.0,240.0
126,Galleta de Chocolate,3,1.0,3.0
126,Pan de Chocolate,6,2.0,12.0
127,Macaron de Frambuesa,12,1.5,18.0
127,Roll de Chocolate,4,2.5,10.0
127,Muffin de Arándanos,12,2.5,30.0
127,Galleta de Avena,3,1.0,3.0
127,Napolitana de Chocolate,7,2.5,17.5
127,Palmera de Chocolate,5,2.5,12.5
127,Bretzel Dulce,10,2.0,20.0
128,Roll de Chocolate,4,2.5,10.0
128,Bretzel Dulce,3,2.0,6.0
128,Tiramisú Individual,2,4.5,9.0
129,Cheesecake Clásico,8,20.0,160.0
129,Tarta de Café,1,16.0,16.0
129,Galleta de Almendra,10,1.2,12.0
129,Galleta de Mantequilla,2,1.0,2.0
130,Macaron de Chocolate,3,1.5,4.5
130,Muffin de Plátano,6,2.5,15.0
130,Donut Glaseado,11,1.5,16.5
130,Berlina de Crema,4,2.0,8.0
130,Tarta de Café,12,16.0,192.0
130,Eclair de Chocolate,10,3.5,35.0
130,Galleta de Chocolate,6,1.0,6.0
130,Donut Relleno,5,2.0,10.0
131,Cheesecake de Oreo,7,22.0,154.0
131,Macaron de Chocolate,2,1.5,3.0
131,Cheesecake Clásico,10,20.0,200.0
131,Donut Relleno,5,2.0,10.0
131,Cheesecake de Fresa,4,22.0,88.0
131,Eclair de Vainilla,3,3.5,10.5
131,Tarta de Frutas,10,18.0,180.0
132,Tarta de Manzana,10,15.0,150.0
132,Galleta de Coco,2,1.2,2.4
132,Galleta de Almendra,5,1.2,6.0
132,Tarta Red Velvet,3,20.0,60.0
132,Brownie,4,3.0,12.0
133,Tiramisú Individual,7,4.5,31.5
133,Eclair de Chocolate,1,3.5,3.5
133,Tarta de Limón,12,15.0,180.0
133,Palmera de Chocolate,2,2.5,5.0
133,Magdalena de Chocolate,6,1.2,7.2
133,Macaron de Chocolate,3,1.5,4.5
133,Strudel de Manzana,4,3.5,14.0
133,Cheesecake de Oreo,11,22.0,242.0
134,Galleta de Jengibre,2,1.5,3.0
134,Croissant Clásico,8,2.5,20.0
134,Pan de Chocolate,6,2.0,12.0
135,Bretzel Dulce,7,2.0,14.0
135,Galleta de Almendra,4,1.2,4.8
136,Macaron de Pistacho,3,1.5,4.5
137,Pan de Chocolate,10,2.0,20.0
137,Tarta de Café,12,16.0,192.0
137,Galleta de Almendra,4,1.2,4.8
137,Roll de Canela,3,2.5,7.5
137,Eclair de Chocolate,1,3.5,3.5
138,Palmera de Chocolate,1,2.5,2.5
138,Palmera Natural,7,2.0,14.0
138,Profiterol,1,1.5,1.5
139,Cheesecake de Fresa,6,22.0,132.0
139,Galleta de Mantequilla,11,1.0,11.0
139,Berlina de Crema,1,2.0,2.0
139,Croissant Clásico,5,2.5,12.5
140,Muffin de Arándanos,8,2.5,20.0
140,Napolitana de Crema,2,2.5,5.0
140,Macaron de Chocolate,9,1.5,13.5
140,Magdalena de Chocolate,3,1.2,3.6
140,Croissant Clásico,9,2.5,22.5
141,Rosquilla de Anís,5,1.0,5.0
142,Roll de Canela,3,2.5,7.5
142,Tarta de Frutas,6,18.0,108.0
142,Donut de Chocolate,3,1.5,4.5
142,Croissant de Chocolate,3,3.0,9.0
142,Magdalena de Chocolate,11,1.2,13.2
143,Profiterol,6,1.5,9.0
143,Roll de Canela,3,2.5,7.5
143,Tarta de Manzana,9,15.0,135.0
